frame	firing_rate	labels
0	7.560490117586759	predator
1	7.452333996735342	predator
2	7.3654015239228	predator
3	7.559593504019188	non_predator
4	7.43780568122881	non_predator
5	7.634853964503577	predator
6	7.45666042610526	predator
7	7.444860261958488	predator
8	7.535433316430304	non_predator
9	7.499624101957522	non_predator
10	7.537159528010699	predator
11	7.5437014053145	predator
12	7.493679424507627	predator
13	7.442981467148578	predator
14	7.406297863574972	predator
15	7.548864610410852	predator
16	7.603861074051531	predator
17	7.590907215390525	predator
18	7.629684236233581	predator
19	7.7397570404508995	predator
20	7.513590217851088	non_animal
21	7.381852849426568	non_predator
22	7.439890342195569	predator
23	7.355989539854193	predator
24	7.448636257528853	non_predator
25	7.494673205424897	predator
26	7.598942122834285	non_predator
27	7.3681059127102655	predator
28	7.5201301194335874	non_predator
29	7.515245351196436	predator
30	7.425542010369688	non_animal
31	7.46513702757154	non_animal
32	7.3983759680508285	non_predator
33	7.468688790899384	predator
34	7.537959551015495	non_predator
35	7.601330534224829	non_predator
36	7.573850169775059	non_predator
37	7.233106946375447	non_animal
38	7.421274519517841	predator
39	7.503911164024609	predator
40	7.316850415345632	non_predator
41	7.505488362364301	non_predator
42	7.56843640293215	non_predator
43	7.6741240146999425	non_animal
44	7.536332733043733	predator
45	7.500849521954755	predator
46	7.448938741585269	non_predator
47	7.499962832800065	predator
48	7.58721244160757	non_predator
49	7.561544235913632	predator
50	7.420691192834861	predator
51	7.533471900225397	non_predator
52	7.37092658428721	predator
53	7.520362007872098	predator
54	7.392905192400358	non_predator
55	7.671537719287991	predator
56	7.508274869323634	non_predator
57	7.540148532893395	non_predator
58	7.327902494425638	predator
59	7.3994779492973635	non_animal
60	7.362417578502635	non_animal
61	7.315099332150138	non_animal
62	7.160954690558044	non_animal
63	7.50472861347414	non_animal
64	7.501042512250879	non_animal
65	7.4789009674500075	non_animal
66	7.468658583799487	non_animal
67	7.284108206887054	non_animal
68	7.547527983601724	non_animal
69	7.529151488194137	non_animal
70	7.535989975330643	non_animal
71	7.63280514791822	non_animal
72	7.3471277256217915	non_animal
73	7.325103247484353	non_animal
74	7.205296621410789	non_animal
75	7.39279649688902	non_animal
76	7.629678730356784	non_animal
77	7.403079032505975	non_animal
78	7.496218194226565	non_animal
79	7.466114039834258	non_animal
80	7.4841816017810805	non_animal
81	7.480513020778859	non_animal
82	7.408022171351869	non_animal
83	7.290654495896064	non_animal
84	7.545275548801248	non_animal
85	7.451245151964366	non_animal
86	7.631111587994764	non_animal
87	7.4303662191702164	non_animal
88	7.479100413033075	non_animal
89	7.473877240351169	non_animal
90	7.2922789909835215	non_animal
91	7.502047998494908	non_animal
92	7.2402725148612594	non_animal
93	7.364089638512294	non_animal
94	7.526945440912195	non_animal
95	7.426319816829085	non_animal
96	7.374513729236406	non_animal
97	7.386180370426101	non_animal
98	7.634303847495957	non_animal
99	7.617742996210968	non_animal
100	7.600981684468649	non_animal
101	7.502635206066458	non_animal
102	7.29689825608983	predator
103	7.421199244264789	non_animal
104	7.554055140544492	non_animal
105	7.577472410970719	non_animal
106	7.668293359846597	non_animal
107	7.65733889353375	non_animal
108	7.293163219124197	non_animal
109	7.3932980504998795	non_animal
110	7.524391291495948	non_animal
111	7.367699690876345	non_animal
112	7.404952738457245	non_predator
113	7.686575411780777	non_animal
114	7.492450463092184	non_animal
115	7.6563439044290895	non_animal
116	7.5916921354602644	non_animal
117	7.753320353010223	non_animal
